127.0.0.1, 2016-03-24 20:30:44, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.266271
127.0.0.1, 2016-03-24 20:30:44, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.192910
127.0.0.1, 2016-03-24 20:30:44, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.394099
127.0.0.1, 2016-03-24 20:30:49, GET, /admin/default/edit/Cooking_Recipes/views/log-in.html, HTTP/1.1, 200, 0.037643
127.0.0.1, 2016-03-24 20:30:49, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.013464
127.0.0.1, 2016-03-24 20:30:51, GET, /admin/default/edit/Cooking_Recipes/views/log-in.html, HTTP/1.1, 200, 0.025193
127.0.0.1, 2016-03-24 20:30:54, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.080134
127.0.0.1, 2016-03-24 20:30:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000267
127.0.0.1, 2016-03-24 20:30:56, GET, /admin/default/edit/Cooking_Recipes/views/log-in.css, HTTP/1.1, 200, 0.056754
127.0.0.1, 2016-03-24 20:30:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2016-03-24 20:30:56, GET, /admin/default/edit/Cooking_Recipes/views/log-in.css, HTTP/1.1, 200, 0.088258
127.0.0.1, 2016-03-24 20:30:57, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.159078
127.0.0.1, 2016-03-24 20:30:57, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.235657
127.0.0.1, 2016-03-24 20:30:57, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.281682
127.0.0.1, 2016-03-24 20:30:57, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.178486
127.0.0.1, 2016-03-24 20:30:57, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.486560
127.0.0.1, 2016-03-24 20:31:02, GET, /admin/default/edit/Cooking_Recipes/views/layout.html, HTTP/1.1, 200, 0.038570
127.0.0.1, 2016-03-24 20:31:02, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.012988
127.0.0.1, 2016-03-24 20:31:04, GET, /admin/default/edit/Cooking_Recipes/views/log-in.html, HTTP/1.1, 200, 0.030724
127.0.0.1, 2016-03-24 20:31:04, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.010026
127.0.0.1, 2016-03-24 20:31:32, POST, /admin/default/edit/Cooking_Recipes/views/log-in.css, HTTP/1.1, 200, 0.030025
127.0.0.1, 2016-03-24 20:31:33, POST, /admin/default/edit/Cooking_Recipes/views/log-in.html, HTTP/1.1, 200, 0.032683
127.0.0.1, 2016-03-24 20:31:45, GET, /Cooking_Recipes/login.html, HTTP/1.1, 400, 0.000189
127.0.0.1, 2016-03-24 20:31:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2016-03-24 20:31:55, GET, /Cooking_Recipes/log-in.html, HTTP/1.1, 400, 0.000413
127.0.0.1, 2016-03-24 20:31:55, GET, /favicon.ico, HTTP/1.1, 400, 0.001559
127.0.0.1, 2016-03-24 20:31:59, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072522
127.0.0.1, 2016-03-24 20:31:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000920
127.0.0.1, 2016-03-24 20:32:00, GET, /Cooking_Recipes/appadmin/hooks, HTTP/1.1, 200, 0.940888
127.0.0.1, 2016-03-24 20:32:00, GET, /Cooking_Recipes/default/index, HTTP/1.1, 200, 0.337222
127.0.0.1, 2016-03-24 20:32:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000610
127.0.0.1, 2016-03-24 20:32:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2016-03-24 20:32:09, GET, /Cooking_Recipes/log-in, HTTP/1.1, 400, 0.000178
127.0.0.1, 2016-03-24 20:32:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000394
127.0.0.1, 2016-03-24 20:32:15, POST, /admin/default/edit/Cooking_Recipes/views/log-in.css, HTTP/1.1, 200, 0.035646
127.0.0.1, 2016-03-24 20:32:18, GET, /admin/default/design/Cooking_Recipes, HTTP/1.1, 200, 0.081319
127.0.0.1, 2016-03-24 20:32:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000328
127.0.0.1, 2016-03-24 20:32:50, GET, /admin/default/peek/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.110512
127.0.0.1, 2016-03-24 20:32:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000586
127.0.0.1, 2016-03-24 20:32:52, GET, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.060348
127.0.0.1, 2016-03-24 20:32:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000191
127.0.0.1, 2016-03-24 20:32:52, GET, /admin/default/edit/Cooking_Recipes/views/default/index.html, HTTP/1.1, 200, 0.083190
127.0.0.1, 2016-03-24 20:32:53, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.151346
127.0.0.1, 2016-03-24 20:32:53, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.234861
127.0.0.1, 2016-03-24 20:32:53, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.346679
127.0.0.1, 2016-03-24 20:32:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.227448
